Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
shauna_date1_3214b465	s	Hey! Nice to see you in person.	game/script.rpy	199	s "[what]"
shauna_date1_3bbbe8fd	y	Same to you. How's it going?	game/script.rpy	201	y "[what]"
shauna_date1_2c81b0be	s	Pretty good! The weather's looking great and the tide is running in so I'm excited to get fishing!	game/script.rpy	203	s "[what]"
shauna_date1_499a6640		I notice that she has some seats set up at the pier, along with a cooler and a tackle box.	game/script.rpy	205	"[what]"
shauna_date1_b470b6d9	y	Looks like you came prepared.	game/script.rpy	206	y "[what]"
shauna_date1_48ec8c01	s	I always do! You never know what you'll catch out here.	game/script.rpy	208	s "[what]"
shauna_date1_2f3e157b	s	I've got some snacks in the cooler, too. Help yourself if you get hungry.	game/script.rpy	209	s "[what]"
shauna_date1_e2a57ea7	y	Thanks, I appreciate it.	game/script.rpy	211	y "[what]"
shauna_date1_fd7557af	y	Bring any gummy worms today?	game/script.rpy	212	y "[what]"
shauna_date1_0bc7db9d		She laughs.	game/script.rpy	214	"[what]"
shauna_date1_e518189a	s	I did, actually. They're one of my go-to fishing snacks.	game/script.rpy	215	s "[what]"
shauna_date1_ec11bc3e	s	But I've got plenty of real bait too, don't worry.	game/script.rpy	217	s "[what]"
shauna_date1_34ccb7e7	s	C'mon, let's get to it! The fish won't catch themselves.	game/script.rpy	219	s "[what]"
shauna_date1_8cdc8cb0		The two of us settle in, casting our lines out into the water.	game/script.rpy	221	"[what]"
shauna_date1_dd78201a		Even though there don't seem to be many fish out and around, time flies by.	game/script.rpy	222	"[what]"
shauna_date1_7e217c8b		We swap stories and enjoy each other's company, the sun shining down on us.	game/script.rpy	223	"[what]"
shauna_date1_38f2070b		Eventually, I feel a tug on my line.	game/script.rpy	224	"[what]"
sdate1_catch_57421413		I caught a tuna.	game/script.rpy	236	"[what]"
sdate1_catch_caa3d424	s	Nice work! That's a pretty big one. The fish around here tend to be small, so that's quite the feat.	game/script.rpy	238	s "[what]"
sdate1_catch_90936b92	y	Thanks!	game/script.rpy	240	y "[what]"
sdate1_catch_c61f68e4	s	I haven't had a single nip on my line yet, but I have a feeling my luck will change soon.	game/script.rpy	242	s "[what]"
sdate1_catch_b799ab6b		I smiled.	game/script.rpy	244	"[what]"
sdate1_catch_b87d1ee0	y	I'm sure it will. It's still only early, right? There's plenty of time.	game/script.rpy	245	y "[what]"
sdate1_catch_f42d2ce1		Shauna nodded in agreement, her hands tightening around her fishing rod.	game/script.rpy	246	"[what]"
sdate1_away_3a50bb07		The fish got away...	game/script.rpy	251	"[what]"
sdate1_away_b6c23784	s	Ahh, you almost got it! Don't sweat it, you'll catch the next one.	game/script.rpy	252	s "[what]"
sdate1_away_53712220	s	Oh!	game/script.rpy	254	s "[what]"
sdate1_away_9de44cf3		Shauna's eyes widen as her line twitches.	game/script.rpy	255	"[what]"
sdate1_away_4a1da81e	s	I got a bite, and it feels like a big one.	game/script.rpy	257	s "[what]"
sdate1_away_0e4c0b7b		She focuses, her expression serious as she eagerly reels the fish in.	game/script.rpy	259	"[what]"
sdate1_away_d3dd24c0		Just when it looks like she has it, the line goes limp.	game/script.rpy	260	"[what]"
sdate1_away_1aaf266d	s	Damn, so close.	game/script.rpy	262	s "[what]"
sdate1_away_2e795009		She shrugs, not looking too bothered.	game/script.rpy	264	"[what]"
sdate1_away_d495f565	y	You'll get 'em next time.	game/script.rpy	266	y "[what]"
sdate1_away_230d8631		She smiles at that, leaning against the dock's railing with her rod still in hand.	game/script.rpy	267	"[what]"
sdate1_away_ec220e91	s	Maybe we're both just having an off day.	game/script.rpy	269	s "[what]"
sdate1_away_3f718603	y	Maybe.	game/script.rpy	271	y "[what]"
sdate1_away_245bb8a7		It's quiet for a few moments.	game/script.rpy	272	"[what]"
sdate1_merge_39ee3e9d	s	So tell me about yourself. How did you get into fishing?	game/script.rpy	277	s "[what]"
sdate1_merge_868c19a8	y	Ah, it's not much of a story. Kind of silly, really.	game/script.rpy	279	y "[what]"
sdate1_merge_a91a9523	s	I don't mind, tell me anyways.	game/script.rpy	281	s "[what]"
sdate1_merge_ae7f22e8	y	Well...	game/script.rpy	283	y "[what]"
sdate1_merge_4c76490e	y	This is embarrassing but...	game/script.rpy	286	y "[what]"
sdate1_merge_70d0e637	y	I've always loved catching fish in video games, ever since I was a kid.	game/script.rpy	287	y "[what]"
sdate1_merge_5676bab2	y	I found it really fun waiting for a tug and reeling it in.	game/script.rpy	288	y "[what]"
sdate1_merge_f6ff401d	y	At a certain point, I wanted to try it for real.	game/script.rpy	289	y "[what]"
